epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.4665174422004006,0.8707272727272727,0.1770563313484192,0.9452,0.001
2,0.2443369423194365,0.9283818181818182,0.131281440448761,0.9608,0.001
3,0.20051481352285905,0.939509090909091,0.11035919293165207,0.9668,0.001
4,0.17238902892632918,0.9477454545454546,0.10480811882019044,0.9686,0.001
5,0.15727452883937143,0.9528545454545455,0.09587343966960907,0.9708,0.001
6,0.14326672201156615,0.9569636363636363,0.08532898216247559,0.9718,0.001
7,0.12996723578301342,0.9611272727272727,0.0811150395989418,0.9766,0.001
8,0.12525416735952552,0.9629636363636364,0.08373823145627976,0.975,0.001
9,0.11998487199544906,0.9639454545454545,0.07946555681228638,0.976,0.001
10,0.11484371494813399,0.9655818181818182,0.07886479696035385,0.9758,0.001
11,0.10590019945014607,0.9677454545454546,0.07647630430459976,0.9758,0.001
12,0.10360881655541333,0.9682909090909091,0.07555287287831307,0.9782,0.001
13,0.09760567931912162,0.9692909090909091,0.07429729115962982,0.9776,0.001
14,0.09401607854366302,0.970690909090909,0.07540358064323664,0.9768,0.001
15,0.08942083311189304,0.9713272727272727,0.0732115422219038,0.9782,0.001
16,0.08965124546831305,0.9716363636363636,0.07218460102081299,0.98,0.001
17,0.08552508357004686,0.9728545454545454,0.07069549152851105,0.9804,0.001
18,0.08429063049879941,0.9732545454545455,0.06919613710641861,0.9784,0.001
19,0.08536637162647465,0.972909090909091,0.06983684278130531,0.9796,0.001
20,0.07747684912898324,0.9751818181818181,0.06767021846920251,0.9808,0.001
