epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30236074744137853,0.9186727272727273,0.12294904512166976,0.9634,0.001
2,0.12481818108883772,0.9623090909090909,0.09506365163326264,0.969,0.001
3,0.09541461587602441,0.9703636363636363,0.08257235298156738,0.9754,0.001
4,0.07919476133747534,0.9756181818181818,0.07988960039764642,0.9752,0.001
5,0.06726172374595295,0.9792909090909091,0.07474516165163368,0.9748,0.001
6,0.06171440939632329,0.9798545454545454,0.06618109763860702,0.9782,0.001
7,0.05416300648559223,0.9825272727272727,0.07110380011871457,0.976,0.001
8,0.04901449484716762,0.9843090909090909,0.06824286553859711,0.978,0.001
9,0.048317712772705336,0.984,0.07026194676682353,0.9794,0.001
10,0.04518574701926925,0.9853090909090909,0.06936707732826472,0.9804,0.001
11,0.04162342248829928,0.9860181818181818,0.06881233320683242,0.9796,0.001
