epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30649676024263556,0.9191818181818182,0.12222910333871842,0.9646,0.001
2,0.12872691579623655,0.9634363636363636,0.09370162150859833,0.9708,0.001
3,0.10064686434594068,0.9707454545454546,0.08314891149401665,0.975,0.001
4,0.08403444590676915,0.9760363636363636,0.07745064227879048,0.976,0.001
5,0.07262712092399597,0.9795272727272727,0.07037936064861715,0.977,0.001
6,0.06664979613694277,0.9811272727272727,0.06395036534667015,0.9796,0.001
7,0.058967855679447,0.9832909090909091,0.06825010444223881,0.9784,0.001
8,0.05434721814502369,0.9849272727272728,0.06839616296887398,0.9776,0.001
9,0.0528273699527437,0.9858545454545454,0.07076474476456641,0.979,0.001
10,0.04860416109887036,0.9870363636363636,0.07087276862226427,0.9786,0.001
11,0.04708247953978452,0.9872909090909091,0.06805760172009469,0.9818,0.001
