epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30233345836292613,0.9188181818181819,0.12257848753929138,0.9642,0.001
2,0.1233817039175467,0.9630181818181818,0.0939865043759346,0.9712,0.001
3,0.09463688894293525,0.9705818181818182,0.07968524246811867,0.9752,0.001
4,0.07771820797703483,0.9758363636363636,0.07776176417693496,0.9754,0.001
5,0.06541053805351257,0.9795272727272727,0.07338519578948617,0.9768,0.0005
6,0.047587957368113776,0.9845272727272727,0.05772833023965359,0.9806,0.0005
7,0.03994798539172519,0.9874727272727273,0.06641461144275963,0.9788,0.0005
8,0.035828941030935806,0.9885454545454545,0.05926676163971424,0.9814,0.0005
9,0.03489747011837634,0.9884727272727273,0.057650499841570856,0.9814,0.0005
10,0.0314009098245339,0.9899272727272728,0.061508370748907325,0.9814,0.00025
11,0.02543778242468834,0.9917454545454546,0.056516183429956436,0.983,0.00025
12,0.022063566256653178,0.9927090909090909,0.053969908782839776,0.9836,0.00025
13,0.019407267947088587,0.9941818181818182,0.057015937203168866,0.9828,0.00025
14,0.01824269855889407,0.9941636363636364,0.06042515747100115,0.981,0.00025
15,0.01733084556473927,0.9945454545454545,0.0587505966886878,0.9826,0.000125
16,0.016133119065111334,0.9947272727272727,0.058776909288764,0.9826,0.000125
17,0.01523978640323674,0.9950909090909091,0.05865684927403927,0.9822,0.000125
