epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.2389495442455465,0.9370727272727273,0.11225617740154266,0.9666,0.001
2,0.0805954700697552,0.9760363636363636,0.08552232197523117,0.9718,0.001
3,0.053335583860765805,0.9835272727272727,0.0757293103814125,0.9772,0.001
4,0.037410790458321574,0.9885090909090909,0.07151971452757716,0.9774,0.001
5,0.02960851903395219,0.9909818181818182,0.0742692420322448,0.9768,0.001
6,0.024295367562499913,0.9922,0.0758024860560894,0.9752,0.001
7,0.019651391371813688,0.9937636363636364,0.0809409439697396,0.9774,0.001
8,0.014032682257755237,0.9956,0.08552159209831152,0.9756,0.001
9,0.01715545829520984,0.9943272727272727,0.08956886285082437,0.975,0.001
