epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.3339653116486289,0.8978545454545455,0.15640120606422425,0.9514,0.001
2,0.1421718768531626,0.9568909090909091,0.11066941595077515,0.9662,0.001
3,0.1027384414748712,0.9682,0.0955161039352417,0.9706,0.001
4,0.08568602955937385,0.9723818181818182,0.09153470405936241,0.9726,0.001
5,0.07044051125266335,0.9774363636363637,0.07036040485948324,0.978,0.001
6,0.06326331834305417,0.9798363636363636,0.07461836478710175,0.9748,0.001
7,0.053862748325954786,0.9826727272727273,0.07586298297885806,0.9778,0.001
8,0.054452638216452166,0.9822727272727273,0.07292148869335652,0.9762,0.001
9,0.046313882170482115,0.9850545454545454,0.0767952188372612,0.977,0.001
10,0.04367889108820395,0.9848,0.08612788078710437,0.9744,0.001
