epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30532509779930117,0.9187818181818181,0.12717498290538787,0.965,0.001
2,0.13244370958696713,0.9617272727272728,0.10175532615184783,0.9688,0.001
3,0.1064092177434401,0.9686181818181818,0.08875030763149261,0.9736,0.001
4,0.09578956143747676,0.9721454545454545,0.08877894885390997,0.9746,0.001
5,0.08734943849173459,0.9747454545454546,0.0815628445506096,0.9728,0.001
6,0.082970180005377,0.9754545454545455,0.0789111878812313,0.9752,0.001
7,0.08003377612612464,0.9764545454545455,0.0824427984200418,0.9744,0.001
8,0.07450337978167967,0.9786,0.07887437379360199,0.9764,0.001
9,0.07719792448661544,0.9773272727272727,0.08165965212583542,0.974,0.001
10,0.07330065337527882,0.9781272727272727,0.0724605424463749,0.9768,0.001
11,0.07088642727678472,0.9791636363636363,0.0680105947971344,0.9782,0.001
12,0.07135573854771528,0.9788181818181818,0.07569540900588036,0.9768,0.001
13,0.06954329068443992,0.9794181818181819,0.07468719601929187,0.978,0.001
14,0.06711537289511074,0.9800909090909091,0.07261746876090765,0.9758,0.001
15,0.06732796890247952,0.9797636363636364,0.07166009956300258,0.9774,0.001
16,0.06997958051399751,0.9794363636363637,0.07290462942123413,0.977,0.001
