epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.3021342962568456,0.9188363636363637,0.12218573372364044,0.9632,0.001
2,0.12403168167634444,0.9624,0.09712044777870178,0.9688,0.001
3,0.09393155128847469,0.9708,0.08284168432354927,0.9752,0.001
4,0.07754216564622793,0.9761818181818182,0.07849498380050063,0.9756,0.001
5,0.06476035005829552,0.9796727272727273,0.0730909578571096,0.9762,0.001
6,0.05828087712309577,0.9818181818181818,0.06257261781692505,0.9794,0.001
7,0.05062421920814297,0.9834,0.07398927922779694,0.9772,0.001
8,0.0472409725817767,0.9846363636363636,0.06963641031980515,0.978,0.001
9,0.04397968842062083,0.9852727272727273,0.06917279579937458,0.9798,0.001
10,0.03787569718631831,0.9876909090909091,0.06691858289912343,0.9796,0.001
11,0.03736157789718021,0.9874363636363637,0.06977716413810849,0.9796,0.001
