epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.28575123584053735,0.9239454545454545,0.11793798760175705,0.9656,0.001
2,0.11424560684778473,0.9651090909090909,0.091938891851902,0.9718,0.001
3,0.0865062810681083,0.9729272727272728,0.07843540126681328,0.975,0.001
4,0.07067525036497549,0.9775090909090909,0.075151075540483,0.9772,0.001
5,0.05707022386572578,0.9819454545454546,0.0705170738298446,0.9782,0.001
6,0.053173593466119336,0.9829272727272728,0.06378740692138672,0.9794,0.001
7,0.0427337209620259,0.9862363636363637,0.07055975861530751,0.9784,0.001
8,0.04014556478722529,0.9868181818181818,0.07175456957519054,0.9788,0.001
9,0.0372880076343363,0.9877272727272727,0.06766828477531671,0.9804,0.001
10,0.032783822493119674,0.9896727272727273,0.0672107194488868,0.9786,0.001
11,0.029888223925503818,0.9897454545454546,0.06693055675551295,0.9798,0.001
